[2024-08-12 08:59:23,591: INFO: main: Welcome to cnnClassifier! ]
[2024-08-12 19:31:47,872: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-12 19:31:47,895: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-12 19:31:47,895: INFO: common: created directory at: artifacts]
[2024-08-12 19:31:47,899: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-12 19:31:47,899: INFO: 1983665874: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-12 19:32:05,410: INFO: 1983665874: Downloaded data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-13 11:35:50,728: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-13 11:35:50,732: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-13 11:35:50,744: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 11:35:50,744: INFO: common: created directory at: artifacts]
[2024-08-13 11:35:50,744: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-13 11:35:50,744: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-13 11:36:08,608: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-13 11:36:09,278: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-13 11:36:59,583: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-13 11:36:59,583: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-13 11:36:59,583: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-13 11:36:59,583: INFO: common: created directory at: artifacts]
[2024-08-13 11:36:59,583: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-13 11:36:59,583: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-13 11:37:16,423: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-13 11:37:17,003: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
